p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;18;2015;7411716;5285147.5;2966609.8;2482531.3;2733320.5;233289.2;3709702;2704969.3;1020486.3;1748412.4;900519.56;119966.69;CAQUETA
hombre;18;2016;7776005;5594861.5;3422875;2309632.3;3165386.5;257488.53;3924557.8;2806414.5;2178060.3;706430.44;2063879.5;114180.69;CAQUETA
mujer;18;2016;7776005;5594861.5;3422875;2309632.3;3165386.5;257488.53;3851447.5;2788447.3;1244814.9;1603201.9;1101507;143307.84;CAQUETA
hombre;18;2015;7411716;5285147.5;2966609.8;2482531.3;2733320.5;233289.2;3702014;2580178.5;1946123.5;734118.81;1832801;113322.52;CAQUETA
hombre;18;2011;6914676.5;4918952;2663736.5;2405727.5;2407618.8;256117.86;3524687.5;2458185.8;1834663.3;710463.13;1703449.4;131213.86;CAQUETA
mujer;18;2011;6914676.5;4918952;2663736.5;2405727.5;2407618.8;256117.86;3389989;2460766.5;829073.25;1695264.4;704169.25;124904;CAQUETA
mujer;18;2013;7051224;5052100;2620828.5;2562480.5;2417658;203170.31;3486285.3;2547349;793693.63;1795957.1;699063.69;94629.992;CAQUETA
mujer;19;2013;16461299;12893022;7646661;5593082.5;6731598.5;915062.5;8255919;6465446;2965248;3666499.5;2423974.5;541273.69;CAUCA
mujer;19;2017;17574852;13944343;8775170;5519289;8013630.5;761539.19;8763285;6993682;3537873.5;3609993.8;3037881.5;499992;CAUCA
mujer;19;2012;16734186;12996035;7578489.5;5510020.5;6677654.5;900835.19;8311882;6508806;2881503.8;3632350.8;2358532;522971.72;CAUCA
mujer;19;2019;17572638;13972497;8481929;5813061;7568810.5;913118.31;8776630;7068630.5;3369438.8;3839001.8;2831587;537851.81;CAUCA
mujer;19;2018;17768776;14069090;8931452;5523466.5;8104863;826589.38;8814800;7086154;3544111.8;3703289.5;2989366.8;554745;CAUCA
hombre;19;2019;17572638;13972497;8481929;5813061;7568810.5;913118.31;8796009;6903867;5112490;1974059;4737223.5;375266.53;CAUCA
hombre;19;2015;16710492;13101216;8133268.5;5299765;7282460;850808.56;8444942;6553065.5;4923197;1804516.8;4628019.5;295177.31;CAUCA
mujer;19;2015;16710492;13101216;8133268.5;5299765;7282460;850808.56;8265550.5;6548150.5;3210071.5;3495248.3;2654440.3;555631.19;CAUCA
hombre;19;2018;17768776;14069090;8931452;5523466.5;8104863;826589.38;8953976;6982936;5387340.5;1820176.8;5115496;271844.38;CAUCA
mujer;19;2014;16972790;13358813;8123342.5;5563106.5;7226270;897072.31;8402605;6656607;3171621.3;3635186;2596647.5;574973.63;CAUCA
hombre;19;2012;16734186;12996035;7578489.5;5510020.5;6677654.5;900835.19;8422304;6487229;4696986;1877669.5;4319122.5;377863.5;CAUCA
hombre;19;2011;16368338;12613601;7390749;5610179.5;6468948;921801.06;8129256;6258924.5;4636535.5;1822680.3;4264928;371607.63;CAUCA
mujer;19;2011;16368338;12613601;7390749;5610179.5;6468948;921801.06;8239082.5;6354676;2754213.3;3787499.3;2204020;550193.44;CAUCA
hombre;19;2013;16461299;12893022;7646661;5593082.5;6731598.5;915062.5;8205380;6427575.5;4681413;1926582.9;4307624;373788.81;CAUCA
hombre;19;2016;17240906;13633641;8504842;5454306.5;7783341;721500.94;8611897;6790147.5;5012974.5;1966106.8;4741676;271298.66;CAUCA
hombre;19;2017;17574852;13944343;8775170;5519289;8013630.5;761539.19;8811566;6950661;5237296.5;1909295.1;4975749;261547.2;CAUCA
hombre;19;2014;16972790;13358813;8123342.5;5563106.5;7226270;897072.31;8570185;6702206;4951721;1927920.4;4629622.5;322098.72;CAUCA
mujer;19;2016;17240906;13633641;8504842;5454306.5;7783341;721500.94;8629008;6843493.5;3491867.3;3488199.8;3041664.8;450202.28;CAUCA
hombre;20;2018;14503090;10860284;6120422;4957286;5465253;655169.38;7288837;5403004;3823338.5;1707033;3551310.5;272028.06;CESAR
