year;dpto;nom_dpto;nom_ciu;sexo;sineducacion;educprimaria;educsecundaria;educmedia;eductecnica;educuniversitaria;educpostgrado
2014;19;Cauca;Popayan;hombre;0.2881707;0.25290242;0.067336053;0.25321618;0.061437089;0.057232507;0.019705052
2014;19;Cauca;Popayan;mujer;0.27857336;0.23909611;0.066866323;0.24584807;0.088047914;0.062346857;0.019221345
2014;20;Cesar;Valledupar;hombre;0.31728083;0.2439072;0.066094756;0.23487359;0.075453304;0.046012867;0.016377462
2014;20;Cesar;Valledupar;mujer;0.27981183;0.21894129;0.067501701;0.23668103;0.11737701;0.061493993;0.018193154
2014;23;Cordoba;Monteria;hombre;0.30384469;0.24857251;0.069204412;0.2410354;0.063875146;0.056718692;0.016749144
2014;23;Cordoba;Monteria;mujer;0.27548593;0.23443078;0.063004099;0.24467804;0.1032659;0.064987436;0.014147825
2014;25;Cundinamarca;Cundinamarca;hombre;0.32232141;0.29843751;0.071874999;0.20401786;0.058928572;0.032589287;0.011830357
2014;25;Cundinamarca;Cundinamarca;mujer;0.28354052;0.28611231;0.076082297;0.20681526;0.087441064;0.041363053;0.018645521
2014;27;Choco;Quibdo;hombre;0.36645913;0.21252918;0.068093382;0.22809339;0.039922178;0.061322957;0.023579767
2014;27;Choco;Quibdo;mujer;0.33173108;0.19162981;0.066717938;0.23521118;0.067551114;0.078895085;0.028263796
2014;41;Huila;Neiva;hombre;0.30535901;0.25842381;0.068371281;0.23229422;0.065849386;0.048266198;0.021436077
2014;41;Huila;Neiva;mujer;0.26619279;0.251486;0.077394448;0.23438936;0.094429806;0.050615847;0.025491757
2014;44;La Guajira;Riohacha;hombre;0.36970946;0.23094763;0.061714876;0.19287509;0.075822972;0.050312441;0.018617535
