year;dpto;nom_dpto;nom_ciu;sexo;horas
2018;11;Bogota;Bogota;hombre;49.774612
2018;11;Bogota;Bogota;mujer;43.917362
2018;13;Bolivar;Cartagena;hombre;46.214134
2018;13;Bolivar;Cartagena;mujer;35.6129
2018;15;Boyaca;Tunja;hombre;45.623966
2018;15;Boyaca;Tunja;mujer;36.613316
2018;17;Caldas;Manizales;hombre;50.05513
2018;17;Caldas;Manizales;mujer;39.500885
2018;18;Caqueta;Florencia;hombre;47.323345
2018;18;Caqueta;Florencia;mujer;38.391533
2018;19;Cauca;Popayan;hombre;40.625122
2018;19;Cauca;Popayan;mujer;35.63427
2018;20;Cesar;Valledupar;hombre;47.423336
2018;20;Cesar;Valledupar;mujer;37.961739
2018;23;Cordoba;Monteria;hombre;44.744209
2018;23;Cordoba;Monteria;mujer;35.115398
2018;25;Cundinamarca;Cundinamarca;hombre;48.504623
2018;25;Cundinamarca;Cundinamarca;mujer;40.156372
2018;27;Choco;Quibdo;hombre;44.814087
2018;27;Choco;Quibdo;mujer;38.688831
2018;41;Huila;Neiva;hombre;43.390903
2018;41;Huila;Neiva;mujer;38.592148
2018;44;La Guajira;Riohacha;hombre;47.807583
2018;44;La Guajira;Riohacha;mujer;37.270714
2018;47;Magdalena;Santa Marta;hombre;48.855965
2018;47;Magdalena;Santa Marta;mujer;37.35416
2018;50;Meta;Villavicencio;hombre;50.848572
2018;50;Meta;Villavicencio;mujer;42.707951
2018;52;Nariño;Pasto;hombre;41.805702
2018;52;Nariño;Pasto;mujer;33.466946
2018;54;Norte de Santander;Cucuta;hombre;51.336922
2018;54;Norte de Santander;Cucuta;mujer;40.420677
2018;63;Quindio;Armenia;hombre;48.986099
2018;63;Quindio;Armenia;mujer;36.915474
2018;66;Risaralda;Pereira;hombre;48.90147
2018;66;Risaralda;Pereira;mujer;40.93858
2018;68;Santander;Bucaramanga;hombre;47.948288
2018;68;Santander;Bucaramanga;mujer;38.175491
2018;70;Sucre;Sincelejo;hombre;44.086872
2018;70;Sucre;Sincelejo;mujer;33.335762
2018;73;Tolima;Ibague;hombre;45.737671
2018;73;Tolima;Ibague;mujer;37.796761
2018;76;Valle del Cauca;Cali;hombre;47.87281
2018;76;Valle del Cauca;Cali;mujer;39.119484
2019;5;Antioquia;Medellin;hombre;47.829266
2019;5;Antioquia;Medellin;mujer;41.533333
2019;8;Atlantico;Barranquilla;hombre;50.109547
2019;8;Atlantico;Barranquilla;mujer;38.403706
2019;11;Bogota;Bogota;hombre;49.757912
2019;11;Bogota;Bogota;mujer;43.435432
2019;13;Bolivar;Cartagena;hombre;44.999798
2019;13;Bolivar;Cartagena;mujer;34.858551
2019;15;Boyaca;Tunja;hombre;44.247604
2019;15;Boyaca;Tunja;mujer;36.619987
2019;17;Caldas;Manizales;hombre;49.529758
2019;17;Caldas;Manizales;mujer;40.12056
2019;18;Caqueta;Florencia;hombre;45.883301
2019;18;Caqueta;Florencia;mujer;38.002392
2019;19;Cauca;Popayan;hombre;40.604347
2019;19;Cauca;Popayan;mujer;35.001148
2019;20;Cesar;Valledupar;hombre;49.623333
2019;20;Cesar;Valledupar;mujer;39.604237
2019;23;Cordoba;Monteria;hombre;46.234844
2019;23;Cordoba;Monteria;mujer;33.743858
2019;25;Cundinamarca;Cundinamarca;hombre;47.704304
2019;25;Cundinamarca;Cundinamarca;mujer;39.864689
2019;27;Choco;Quibdo;hombre;47.169769
2019;27;Choco;Quibdo;mujer;41.598637
2019;41;Huila;Neiva;hombre;44.335304
2019;41;Huila;Neiva;mujer;37.018398
2019;44;La Guajira;Riohacha;hombre;48.111107
2019;44;La Guajira;Riohacha;mujer;37.144909
2019;47;Magdalena;Santa Marta;hombre;48.358818
2019;47;Magdalena;Santa Marta;mujer;37.481892
2019;50;Meta;Villavicencio;hombre;51.090233
2019;50;Meta;Villavicencio;mujer;43.35841
2019;52;Nariño;Pasto;hombre;40.133606
2019;52;Nariño;Pasto;mujer;32.709587
2019;54;Norte de Santander;Cucuta;hombre;50.896999
2019;54;Norte de Santander;Cucuta;mujer;41.121094
2019;63;Quindio;Armenia;hombre;48.579853
2019;63;Quindio;Armenia;mujer;37.335339
2019;66;Risaralda;Pereira;hombre;49.784527
2019;66;Risaralda;Pereira;mujer;40.959064
2019;68;Santander;Bucaramanga;hombre;47.211666
2019;68;Santander;Bucaramanga;mujer;38.25692
2019;70;Sucre;Sincelejo;hombre;44.477867
2019;70;Sucre;Sincelejo;mujer;32.716129
2019;73;Tolima;Ibague;hombre;48.904221
2019;73;Tolima;Ibague;mujer;40.493378
2019;76;Valle del Cauca;Cali;hombre;48.535973
2019;76;Valle del Cauca;Cali;mujer;38.701782
