year;dpto;nom_dpto;nom_ciu;sexo;ingresototal;ingnotransitorio
2018;50;Meta;Villavicencio;hombre;1236502.1;1149588.6
2018;50;Meta;Villavicencio;mujer;972716.44;910064
2018;52;Nariño;Pasto;hombre;842858.94;812929.69
2018;52;Nariño;Pasto;mujer;693163.31;644826.81
2018;54;Norte de Santander;Cucuta;hombre;880385.63;862903.63
2018;54;Norte de Santander;Cucuta;mujer;742960.31;701245.19
2018;63;Quindio;Armenia;hombre;1066722.1;959486.5
2018;63;Quindio;Armenia;mujer;797082.56;741292.75
2018;66;Risaralda;Pereira;hombre;1139234;1088032
2018;66;Risaralda;Pereira;mujer;902021.19;846762.5
2018;68;Santander;Bucaramanga;hombre;1304221.6;1222929
2018;68;Santander;Bucaramanga;mujer;1009035.7;942492.44
2018;70;Sucre;Sincelejo;hombre;886221.69;835405.25
2018;70;Sucre;Sincelejo;mujer;654825.31;594269.38
2018;73;Tolima;Ibague;hombre;902030.31;845806.19
2018;73;Tolima;Ibague;mujer;732475.06;675863
2018;76;Valle del Cauca;Cali;hombre;1150319.6;1086119.9
2018;76;Valle del Cauca;Cali;mujer;909792.19;847049.94
2019;5;Antioquia;Medellin;hombre;1418399.5;1317836.9
2019;5;Antioquia;Medellin;mujer;1241214.9;1136041
2019;8;Atlantico;Barranquilla;hombre;1159068.5;1102933
2019;8;Atlantico;Barranquilla;mujer;887598.94;819787.5
2019;11;Bogota;Bogota;hombre;1802299.8;1704911.5
2019;11;Bogota;Bogota;mujer;1511092.1;1404880.9
2019;13;Bolivar;Cartagena;hombre;955664.75;916122.5
2019;13;Bolivar;Cartagena;mujer;741023.31;692654.38
2019;15;Boyaca;Tunja;hombre;1108260;1038611.8
2019;15;Boyaca;Tunja;mujer;898485.63;824532.63
2019;17;Caldas;Manizales;hombre;1124950.3;1038214.8
2019;17;Caldas;Manizales;mujer;974353.75;887768.94
2019;18;Caqueta;Florencia;hombre;1057300.3;1000697.3
2019;18;Caqueta;Florencia;mujer;857868.19;792924.5
2019;19;Cauca;Popayan;hombre;797759.38;766676
2019;19;Cauca;Popayan;mujer;690097.88;648656.19
2019;20;Cesar;Valledupar;hombre;937375.56;893892.31
2019;20;Cesar;Valledupar;mujer;791300;737025.31
2019;23;Cordoba;Monteria;hombre;921195.63;872836.88
2019;23;Cordoba;Monteria;mujer;668721.19;609277.13
2019;25;Cundinamarca;Cundinamarca;hombre;1167892.9;1070818
2019;25;Cundinamarca;Cundinamarca;mujer;883712.31;805340.56
