year;Mes;Tipo inactividad;Género;sexo;Total
2016;10;Estudiando ;1;hombre;2609
2016;10;Estudiando ;0;mujer;2481
2016;10;Oficios del Hogar ;1;hombre;390
2016;10;Oficios del Hogar ;0;mujer;5098
2016;10;Otros;1;hombre;1499
2016;10;Otros;0;mujer;1092
2016;11;Estudiando ;1;hombre;2563
2016;11;Estudiando ;0;mujer;2407
2016;11;Oficios del Hogar ;1;hombre;401
2016;11;Oficios del Hogar ;0;mujer;5335
2016;11;Otros;1;hombre;1594
2016;11;Otros;0;mujer;1193
2016;12;Estudiando ;1;hombre;2619
2016;12;Estudiando ;0;mujer;2388
2016;12;Oficios del Hogar ;1;hombre;377
2016;12;Oficios del Hogar ;0;mujer;5371
2016;12;Otros;1;hombre;1656
2016;12;Otros;0;mujer;1259
2017;1;Estudiando ;1;hombre;2764
2017;1;Estudiando ;0;mujer;2510
2017;1;Oficios del Hogar ;1;hombre;376
2017;1;Oficios del Hogar ;0;mujer;5354
2017;1;Otros;1;hombre;1622
2017;1;Otros;0;mujer;1195
2017;2;Estudiando ;1;hombre;2849
2017;2;Estudiando ;0;mujer;2598
2017;2;Oficios del Hogar ;1;hombre;362
2017;2;Oficios del Hogar ;0;mujer;5188
2017;2;Otros;1;hombre;1569
2017;2;Otros;0;mujer;1112
2017;3;Estudiando ;1;hombre;2836
2017;3;Estudiando ;0;mujer;2609
2017;3;Oficios del Hogar ;1;hombre;365
2017;3;Oficios del Hogar ;0;mujer;5214
2017;3;Otros;1;hombre;1553
2017;3;Otros;0;mujer;1089
2017;4;Estudiando ;1;hombre;2784
2017;4;Estudiando ;0;mujer;2576
2017;4;Oficios del Hogar ;1;hombre;368
2017;4;Oficios del Hogar ;0;mujer;5084
2017;4;Otros;1;hombre;1556
2017;4;Otros;0;mujer;1111
2017;5;Estudiando ;1;hombre;2815
2017;5;Estudiando ;0;mujer;2606
2017;5;Oficios del Hogar ;1;hombre;353
2017;5;Oficios del Hogar ;0;mujer;5202
2017;5;Otros;1;hombre;1589
2017;5;Otros;0;mujer;1103
2017;6;Estudiando ;1;hombre;2811
2017;6;Estudiando ;0;mujer;2661
2017;6;Oficios del Hogar ;1;hombre;352
2017;6;Oficios del Hogar ;0;mujer;5120
2017;6;Otros;1;hombre;1578
2017;6;Otros;0;mujer;1125
2017;7;Estudiando ;1;hombre;2870
2017;7;Estudiando ;0;mujer;2740
2017;7;Oficios del Hogar ;1;hombre;348
2017;7;Oficios del Hogar ;0;mujer;5130
2017;7;Otros;1;hombre;1566
2017;7;Otros;0;mujer;1136
2017;8;Estudiando ;1;hombre;2836
2017;8;Estudiando ;0;mujer;2723
2017;8;Oficios del Hogar ;1;hombre;352
2017;8;Oficios del Hogar ;0;mujer;4998
2017;8;Otros;1;hombre;1530
2017;8;Otros;0;mujer;1126
2017;9;Estudiando ;1;hombre;2830
2017;9;Estudiando ;0;mujer;2644
2017;9;Oficios del Hogar ;1;hombre;346
2017;9;Oficios del Hogar ;0;mujer;5107
2017;9;Otros;1;hombre;1521
2017;9;Otros;0;mujer;1093
2017;10;Estudiando ;1;hombre;2683
2017;10;Estudiando ;0;mujer;2464
2017;10;Oficios del Hogar ;1;hombre;362
2017;10;Oficios del Hogar ;0;mujer;5270
2017;10;Otros;1;hombre;1628
2017;10;Otros;0;mujer;1140
2017;11;Estudiando ;1;hombre;2632
2017;11;Estudiando ;0;mujer;2347
2017;11;Oficios del Hogar ;1;hombre;391
2017;11;Oficios del Hogar ;0;mujer;5493
2017;11;Otros;1;hombre;1749
2017;11;Otros;0;mujer;1255
2017;12;Estudiando ;1;hombre;2604
2017;12;Estudiando ;0;mujer;2376
2017;12;Oficios del Hogar ;1;hombre;403
2017;12;Oficios del Hogar ;0;mujer;5588
2017;12;Otros;1;hombre;1812
2017;12;Otros;0;mujer;1285
2018;1;Estudiando ;1;hombre;2767
2018;1;Estudiando ;0;mujer;2539
2018;1;Oficios del Hogar ;1;hombre;412
2018;1;Oficios del Hogar ;0;mujer;5583
2018;1;Otros;1;hombre;1728
2018;1;Otros;0;mujer;1223
2018;2;Estudiando ;1;hombre;2848
2018;2;Estudiando ;0;mujer;0
2018;2;Oficios del Hogar ;1;hombre;392
2018;2;Oficios del Hogar ;0;mujer;5397
2018;2;Otros;1;hombre;1633
2018;2;Otros;0;mujer;1121
2018;3;Estudiando ;1;hombre;2881
2018;3;Estudiando ;0;mujer;2689
2018;3;Oficios del Hogar ;1;hombre;391
2018;3;Oficios del Hogar ;0;mujer;5346
2018;3;Otros;1;hombre;1613
2018;3;Otros;0;mujer;1075
2018;4;Estudiando ;1;hombre;2820
2018;4;Estudiando ;0;mujer;2652
2018;4;Oficios del Hogar ;1;hombre;371
2018;4;Oficios del Hogar ;0;mujer;5317
2018;4;Otros;1;hombre;1608
2018;4;Otros;0;mujer;1086
2018;5;Estudiando ;1;hombre;2791
2018;5;Estudiando ;0;mujer;2639
2018;5;Oficios del Hogar ;1;hombre;374
2018;5;Oficios del Hogar ;0;mujer;5472
2018;5;Otros;1;hombre;1616
2018;5;Otros;0;mujer;1105
2018;6;Estudiando ;1;hombre;2812
2018;6;Estudiando ;0;mujer;2649
2018;6;Oficios del Hogar ;1;hombre;364
2018;6;Oficios del Hogar ;0;mujer;5415
2018;6;Otros;1;hombre;1608
2018;6;Otros;0;mujer;1160
2018;7;Estudiando ;1;hombre;2867
2018;7;Estudiando ;0;mujer;2677
2018;7;Oficios del Hogar ;1;hombre;348
2018;7;Oficios del Hogar ;0;mujer;5359
2018;7;Otros;1;hombre;1584
2018;7;Otros;0;mujer;1156
2018;8;Estudiando ;1;hombre;2833
2018;8;Estudiando ;0;mujer;2637
2018;8;Oficios del Hogar ;1;hombre;344
2018;8;Oficios del Hogar ;0;mujer;5197
2018;8;Otros;1;hombre;1619
2018;8;Otros;0;mujer;1180
2018;9;Estudiando ;1;hombre;2860
2018;9;Estudiando ;0;mujer;2644
2018;9;Oficios del Hogar ;1;hombre;360
2018;9;Oficios del Hogar ;0;mujer;5303
2018;9;Otros;1;hombre;1652
2018;9;Otros;0;mujer;1149
2018;10;Estudiando ;1;hombre;2644
2018;10;Estudiando ;0;mujer;2464
2018;10;Oficios del Hogar ;1;hombre;389
2018;10;Oficios del Hogar ;0;mujer;5424
2018;10;Otros;1;hombre;1746
2018;10;Otros;0;mujer;1229
2018;11;Estudiando ;1;hombre;2617
2018;11;Estudiando ;0;mujer;2393
2018;11;Oficios del Hogar ;1;hombre;406
2018;11;Oficios del Hogar ;0;mujer;5617
2018;11;Otros;1;hombre;1792
2018;11;Otros;0;mujer;1303
2018;12;Estudiando ;1;hombre;2565
2018;12;Estudiando ;0;mujer;2363
2018;12;Oficios del Hogar ;1;hombre;401
2018;12;Oficios del Hogar ;0;mujer;5554
2018;12;Otros;1;hombre;1797
2018;12;Otros;0;mujer;1357
2019;1;Estudiando ;1;hombre;2787
2019;1;Estudiando ;0;mujer;2552
2019;1;Oficios del Hogar ;1;hombre;388
2019;1;Oficios del Hogar ;0;mujer;5505
2019;1;Otros;1;hombre;1762
2019;1;Otros;0;mujer;1296
2019;2;Estudiando ;1;hombre;2889
2019;2;Estudiando ;0;mujer;2679
