year;dpto;nom_dpto;nom_ciu;sexo;Carro;Moto;Bicicleta
2016;41;Huila;Neiva;hombre;0.12968025;0.52824682;0.27976021
2016;41;Huila;Neiva;mujer;0.12493086;0.49816072;0.24898843
2016;44;La Guajira;Riohacha;hombre;0.10180399;0.19697131;0.29085594
2016;44;La Guajira;Riohacha;mujer;0.10079543;0.16473366;0.2645044
2016;47;Magdalena;Santa Marta;hombre;0.056580245;0.28955433;0.30737892
2016;47;Magdalena;Santa Marta;mujer;0.057035439;0.27715787;0.28823927
2016;50;Meta;Villavicencio;hombre;0.13605793;0.53720558;0.40453872
2016;50;Meta;Villavicencio;mujer;0.14101925;0.49738568;0.38740024
2016;52;Nariño;Pasto;hombre;0.10340489;0.33900458;0.24401364
2016;52;Nariño;Pasto;mujer;0.095728643;0.30351502;0.2138
2016;54;Norte de Santander;Cucuta;hombre;0.12408002;0.41169232;0.25467908
2016;54;Norte de Santander;Cucuta;mujer;0.11747158;0.37482762;0.25434306
2016;63;Quindio;Armenia;hombre;0.13504975;0.37909386;0.3449994
2016;63;Quindio;Armenia;mujer;0.13193217;0.35872698;0.31425986
2016;66;Risaralda;Pereira;hombre;0.13534294;0.35472137;0.27036434
2016;66;Risaralda;Pereira;mujer;0.12436619;0.31515923;0.2609525
2016;68;Santander;Bucaramanga;hombre;0.16311458;0.38364604;0.20873405
2016;68;Santander;Bucaramanga;mujer;0.15327647;0.34799197;0.18906291
2016;70;Sucre;Sincelejo;hombre;0.031880945;0.39318135;0.22414449
2016;70;Sucre;Sincelejo;mujer;0.034520157;0.37511054;0.21743256
2016;73;Tolima;Ibague;hombre;0.11395799;0.40321031;0.38599309
2016;73;Tolima;Ibague;mujer;0.11539363;0.38136345;0.37979397
2016;76;Valle del Cauca;Cali;hombre;0.15479703;0.40470216;0.48903891
2016;76;Valle del Cauca;Cali;mujer;0.15446919;0.36470467;0.46025944
2017;5;Antioquia;Medellin;hombre;0.15404794;0.29377878;0.29943711
2017;5;Antioquia;Medellin;mujer;0.14638604;0.25848755;0.28190744
2017;8;Atlantico;Barranquilla;hombre;0.10987882;0.22840446;0.27264893
2017;8;Atlantico;Barranquilla;mujer;0.11372347;0.2055025;0.25767618
2017;11;Bogota;Bogota;hombre;0.23911789;0.14816217;0.43318981
2017;11;Bogota;Bogota;mujer;0.22422232;0.12454955;0.39577368
2017;13;Bolivar;Cartagena;hombre;0.056431569;0.25197557;0.15091148
2017;13;Bolivar;Cartagena;mujer;0.061669439;0.22737542;0.14286198
2017;15;Boyaca;Tunja;hombre;0.19195879;0.22284982;0.28963405
2017;15;Boyaca;Tunja;mujer;0.17899632;0.1931524;0.26429918
2017;17;Caldas;Manizales;hombre;0.12892488;0.33597258;0.30686936
2017;17;Caldas;Manizales;mujer;0.1303342;0.29542094;0.29161534
2017;18;Caqueta;Florencia;hombre;0.058975033;0.45848739;0.12159044
2017;18;Caqueta;Florencia;mujer;0.0540323;0.43123135;0.12216202
2017;19;Cauca;Popayan;hombre;0.07543017;0.37374762;0.22638769
2017;19;Cauca;Popayan;mujer;0.070496395;0.34166834;0.2124013
2017;20;Cesar;Valledupar;hombre;0.099941775;0.41413224;0.35053238
2017;20;Cesar;Valledupar;mujer;0.10239135;0.39926127;0.33181643
2017;23;Cordoba;Monteria;hombre;0.066014864;0.43465972;0.37788281
2017;23;Cordoba;Monteria;mujer;0.065319382;0.40718228;0.36193565
2017;25;Cundinamarca;Cundinamarca;hombre;0.17321692;0.24492982;0.42487147
2017;25;Cundinamarca;Cundinamarca;mujer;0.17372186;0.2167622;0.40012383
2017;27;Choco;Quibdo;hombre;0.014142372;0.14972442;0.11038852
